running on 6718 samples
training model...
trained model...
sample 573 correct/failed threshold, score = 0.440159
sample 574 incorrect/failed threshold, score = 0.731621
sample 575 correct/failed threshold, score = 0.432248
sample 576 correct/failed threshold, score = 0.483047
sample 577 correct, score = 0.284088
sample 578 correct/failed threshold, score = 0.445893
sample 579 correct/failed threshold, score = 0.520179
sample 580 incorrect/failed threshold, score = 1.050348
sample 581 correct/failed threshold, score = 0.568949
sample 582 correct, score = 0.333063
sample 583 correct, score = 0.269060
sample 584 incorrect/failed threshold, score = 1.342648
sample 585 incorrect/failed threshold, score = 1.276085
sample 586 incorrect/failed threshold, score = 0.955378
sample 587 incorrect/failed threshold, score = 0.753443
sample 588 correct/failed threshold, score = 0.408579
sample 589 incorrect/failed threshold, score = 0.823117
sample 590 incorrect/failed threshold, score = 0.844099
sample 591 correct/failed threshold, score = 0.580269
sample 592 correct, score = 0.210307
sample 593 correct, score = 0.326099
sample 594 incorrect/failed threshold, score = 0.747488
sample 595 correct/failed threshold, score = 0.447979
sample 596 incorrect/failed threshold, score = 0.772262
sample 597 incorrect/failed threshold, score = 0.801254
sample 598 incorrect/failed threshold, score = 0.706601
sample 599 correct, score = 0.131340
sample 600 correct, score = 0.344168
sample 601 correct, score = 0.370228
sample 602 correct/failed threshold, score = 0.419018
sample 603 correct/failed threshold, score = 0.598033
sample 604 correct, score = 0.204821
sample 605 correct, score = 0.258883
sample 606 correct/failed threshold, score = 0.390523
sample 607 correct, score = 0.208596
sample 608 correct, score = 0.266451
sample 609 correct/failed threshold, score = 0.601383
sample 610 correct, score = 0.352966
sample 611 correct/failed threshold, score = 1.176877
sample 612 incorrect/failed threshold, score = 0.934486
sample 613 correct/failed threshold, score = 0.403005
sample 614 correct/failed threshold, score = 0.391531
sample 615 correct/failed threshold, score = 0.492693
sample 616 correct/failed threshold, score = 0.882496
sample 617 correct, score = 0.337542
sample 618 correct, score = 0.322589
sample 619 incorrect/failed threshold, score = 0.733336
sample 620 incorrect/failed threshold, score = 0.783537
sample 621 correct/failed threshold, score = 0.590541
sample 622 correct/failed threshold, score = 0.588856
sample 623 correct/failed threshold, score = 0.568038
sample 624 correct/failed threshold, score = 0.524405
sample 625 correct/failed threshold, score = 0.538586
sample 626 correct, score = 0.351138
sample 627 correct, score = 0.276666
sample 628 correct/failed threshold, score = 0.398002
sample 629 incorrect/failed threshold, score = 0.627495
sample 630 correct/failed threshold, score = 0.411613
sample 631 correct/failed threshold, score = 0.562416
sample 632 correct, score = 0.273426
sample 633 incorrect/failed threshold, score = 0.676393
sample 634 correct/failed threshold, score = 0.533438
sample 635 correct/failed threshold, score = 0.456325
sample 636 incorrect/failed threshold, score = 0.803131
sample 637 incorrect/failed threshold, score = 0.934974
sample 638 incorrect/failed threshold, score = 1.103231
sample 639 incorrect/failed threshold, score = 0.646071
sample 640 correct/failed threshold, score = 0.454284
sample 641 correct, score = 0.342932
sample 642 correct/failed threshold, score = 0.448686
sample 643 correct/failed threshold, score = 0.588383
sample 644 correct/failed threshold, score = 0.393935
sample 645 incorrect/failed threshold, score = 0.615730
sample 646 correct, score = 0.298688
sample 647 correct/failed threshold, score = 0.482818
sample 648 correct/failed threshold, score = 0.415742
sample 649 correct, score = 0.265301
sample 650 incorrect/failed threshold, score = 1.370020
sample 651 incorrect/failed threshold, score = 0.936025
sample 652 incorrect/failed threshold, score = 1.499860
sample 653 incorrect/failed threshold, score = 0.660028
sample 654 correct, score = 0.324807
sample 655 correct/failed threshold, score = 0.479180
sample 656 correct, score = 0.198357
sample 657 correct, score = 0.359052
sample 658 correct/failed threshold, score = 0.388963
sample 659 correct, score = 0.334777
sample 660 correct/failed threshold, score = 0.475465
sample 661 correct, score = 0.243817
sample 662 incorrect/failed threshold, score = 0.834844
sample 663 incorrect/failed threshold, score = 0.682400
